saudi arabia,SAU,54378.69812
sudan,SDN,4730.461869
senegal,SEN,2566.119179
singapore,SGP,89103.15883
solomon islands,SLB,2350.192843
sierra leone,SLE,1470.858648
el salvador,SLV,7726.170444
san marino,SMR,60932.93004
serbia,SRB,14514.96055
sub-saharan africa (excluding high income),SSA,3728.129203
south sudan,SSD,1693.046062
sub-saharan africa,SSF,3730.320133
small states,SST,22338.2904
sao tome and principe,STP,3239.414034
suriname,SUR,14966.71379
slovak republic,SVK,30460.38408
slovenia,SVN,32723.07195
sweden,SWE,48904.55437
eswatini,SWZ,8329.560581
seychelles,SYC,27641.4389
chad,TCD,2025.737246
east asia & pacific (ida & ibrd countries),TEA,13991.93497
europe & central asia (ida & ibrd countries),TEC,20186.00077
togo,TGO,1497.423643
thailand,THA,16937.92689
tajikistan,TJK,2979.310239
turkmenistan,TKM,16875.98774
latin america & the caribbean (ida & ibrd countries),TLA,15258.88342
timor-leste,TLS,7869.451474
middle east & north africa (ida & ibrd countries),TMN,13191.75013
tonga,TON,5745.191229
south asia (ida & ibrd),TSA,6066.005854
sub-saharan africa (ida & ibrd countries),TSS,3730.320133
trinidad and tobago,TTO,31858.35543
tunisia,TUN,11605.75518
turkey,TUR,25247.20175
tuvalu,TUV,3766.483781
tanzania,TZA,2786.272243
uganda,UGA,1819.434351
ukraine,UKR,8269.614634
upper middle income,UMC,16755.33821
uruguay,URY,21669.9774
united states,USA,57588.53807
uzbekistan,UZB,6512.682131
st. vincent and the grenadines,VCT,11413.29439
vietnam,VNM,6295.590585
vanuatu,VUT,3080.565754
world,WLD,16233.95975
samoa,WSM,6378.256567
kosovo,XKX,10193.41105
"yemen, rep.",YEM,1595.186065
south africa,ZAF,13250.58832
zambia,ZMB,3938.663188
zimbabwe,ZWE,2027.084915
